listing_id,date,available,price
14250,2019-12-06,t,$470.00
12351,2019-08-17,t,$110.00
12351,2019-08-16,t,$110.00
12351,2019-08-15,t,$110.00
12351,2019-08-14,t,$110.00
12351,2019-08-13,t,$110.00
12351,2019-08-12,t,$110.00
12351,2019-08-11,t,$110.00
12351,2019-08-10,t,$110.00
12351,2019-08-09,t,$110.00
12351,2019-08-08,t,$110.00
12351,2019-08-07,t,$110.00
12351,2019-08-06,t,$110.00
12351,2019-08-05,t,$110.00
12351,2019-08-04,t,$110.00
12351,2019-08-03,t,$110.00
12351,2019-08-02,t,$110.00
12351,2019-08-01,t,$110.00
12351,2019-07-31,t,$110.00
